Fire Number;Incident Name;Fire Start Date;Initial Report Date;Fire Out Date;Region;Zone;County;Municipality;Cause;NFFL Fuel Model;Complex Type;Acreage;Latitude;Longitude;Ownership;State Land Unit Name;Total;Fatalities;Injuries;Homes Lost;Homes Threatened;Other Structures Lost;Other Structures Threatened;Reporting Ranger;Fire Report Method;Railroad Name;Location 1
NYS-2015-0013;Perry Farm Fire;04/13/2015;04/13/2015;04/14/2015;5;5F;WASHINGTON;GREENWICH;Debris Burning; 8 - Timber - Light Hardwood Litter;5;3;43.15256;-73.44902;Private Property;;0;0;0;0;0;0;0;Schwab,Werner J;911 Dispatch;;(43.15256, -73.44902)
NYS-2015-0012;Helmer Creek WMA Wildfire;04/13/2015;04/13/2015;04/14/2015;8;8A;STEUBEN;RATHBONE;Miscellaneous; 1 - Grass - Light;4;39.3;42.17775;-77.34948;Wildlife Management Area;Helmer Creek;217.63;0;0;0;0;0;0;Richter,Daniel E;Ranger Patrol;;(42.17775, -77.34948)
NYS-2015-0011;Yard fire;04/13/2015;04/13/2015;04/13/2015;3;3B;ULSTER;GARDINER;Debris Burning; 7 - Brush - Understory;5;3.5;41.65065;-74.16692;Private Property;;0;0;0;0;0;0;0;Sabo,Scott L;911 Dispatch;;(41.65065, -74.16692)
NYS-2015-0010;North Sea Fire;04/13/2015;04/13/2015;04/14/2015;1;1A;SUFFOLK;SOUTHAMPTON;Equipment; 8 - Timber - Light Hardwood Litter;5;4.5;40.95188;-72.35078;Private Property;;0;0;0;0;0;0;0;Lunt,Chester A;911 Dispatch;;(40.95188, -72.35078)
NYS-2015-0009;Helmer Creek WMA;04/13/2015;04/13/2015;04/13/2015;8;8A;STEUBEN;RATHBONE;Prescribed Fire; 1 - Grass - Light;5;5.4;42.17775;-77.34948;State Forest/RF Area;Helmer Creek WMA;0;0;0;0;0;0;0;Meehan,William X;Ranger Patrol;;(42.17775, -77.34948)
NYS-2015-0008;Williams Fire;04/11/2015;04/11/2015;04/14/2015;1;1A;SUFFOLK;SOUTHAMPTON;Campfire; 9 - Timber - Medium Hardwood Litter;4;11;40.89752;-72.60401;Other Government;;0;0;0;0;0;0;0;Gallagher,Bryan ;911 Dispatch;;(40.89752, -72.60401)
NYS-2015-0007;Paddock Fire;04/06/2015;04/06/2015;04/06/2015;3;3B;ORANGE;CRAWFORD;Children; 9 - Timber - Medium Hardwood Litter;5;1;41.56718;-74.35479;Private Property;;0;0;0;0;0;0;0;Sabo,Scott L;911 Dispatch;;(41.56718, -74.35479)
NYS-2015-0006;Tandem Lot 2015 Fire;04/04/2015;04/04/2015;04/06/2015;3;3B;ROCKLAND;RAMAPO;Equipment;10 - Timber  - Heavy Litter/Downed Fuels;5;9.4;41.14533;-74.17855;OPR&HP (State Parks);Harriman State Park;0;0;0;0;0;0;0;Sabo,Scott L;911 Dispatch;;(41.14533, -74.17855)
NYS-2015-0005;Tuffs Island Fire;04/02/2015;04/03/2015;04/03/2015;7;7A;TIOGA;NICHOLS;Structure; 2 - Grass - Understory;4;1.5;42.08352;-76.30397;Private Property;N/A;0;0;0;0;0;0;0;Oldroyd,Jeremy M;911 Dispatch;N/A;(42.08352, -76.30397)
NYS-2015-0004;Encampment Fire ;04/02/2015;04/02/2015;04/02/2015;3;3B;ORANGE;NEW WINDSOR;Smoking; 3 - Grass - Heavy;5;0.2;41.47144;-74.06775;Private Property;;0;0;0;0;0;0;0;Sabo,Scott L;911 Dispatch;;(41.47144, -74.06775)
NYS-2015-0003;Airy Fire;04/02/2015;04/02/2015;04/02/2015;3;3B;ORANGE;NEW WINDSOR;Equipment; 1 - Grass - Light;5;0.3;41.46641;-74.09619;Private Property;;0;0;0;0;0;0;0;Sabo,Scott L;911 Dispatch;;(41.46641, -74.09619)
NYS-2015-0002;Timmerman Hill Fire;04/02/2015;04/02/2015;04/03/2015;4;4A;GREENE;CATSKILL;Debris Burning; 9 - Timber - Medium Hardwood Litter;4;16.2;42.18828;-73.94631;Private Property;;0;0;0;0;1;0;0;Nelson,Christine X;911 Dispatch;;(42.18828, -73.94631)
NYS-2015-0001;Easton Fire;04/02/2015;04/02/2015;04/02/2015;5;5F;WASHINGTON;EASTON;Debris Burning; 1 - Grass - Light;5;2;42.94564;-73.60707;Private Property;;0;0;0;0;0;0;0;Solan,John X;911 Dispatch;;(42.94564, -73.60707)
NYS-2014-0145;27 Cranberry Hill Rd Fire;11/22/2014;11/22/2014;11/24/2014;3;3B;SULLIVAN;FALLSBURGH;Debris Burning; 9 - Timber - Medium Hardwood Litter;5;35;41.70555;-74.51195;Private Property;;0;0;0;0;0;2;0;Quinn,Logan T;911 Dispatch;;(41.70555, -74.51195)
NYS-2014-0144;Buras Road;11/22/2014;11/22/2014;11/22/2014;3;3B;SULLIVAN;COCHECTON;Structure; 1 - Grass - Light;5;0.5;41.68942;-74.94629;Private Property;;0;0;0;0;1;1;0;Quinn,Logan T;911 Dispatch;;(41.68942, -74.94629)
NYS-2014-0143;Skyline Fire;11/20/2014;11/20/2014;11/21/2014;3;3B;ORANGE;DEERPARK;Smoking; 9 - Timber - Medium Hardwood Litter;5;5;41.39256;-74.70419;Private Property;N/A;0;0;0;0;0;0;0;Parlier,Philip J;911 Dispatch;N/A;(41.39256, -74.70419)
NYS-2014-0142;Igoe Fire;11/11/2014;11/11/2014;11/13/2014;7;7A;CHENANGO;AFTON;Debris Burning;10 - Timber  - Heavy Litter/Downed Fuels;4;6;42.21551;-75.47932;Private Property;none;0;0;0;0;0;0;0;Oldroyd,Jeremy M;911 Dispatch;;(42.21551, -75.47932)
NYS-2014-0141;Red Eye Fire;11/05/2014;11/05/2014;11/06/2014;9;9A;CATTARAUGUS;COLD SPRING;Incendiary; 9 - Timber - Medium Hardwood Litter;5;31;42.00887;-78.9426;OPR&HP (State Parks);Allegany State Park;0;0;0;0;0;0;0;Krulish,Wayne ;911 Dispatch;;(42.00887, -78.9426)
NYS-2014-0140;Rock Valley Fire;11/04/2014;11/04/2014;11/06/2014;4;4B;DELAWARE;HANCOCK;Power line; 9 - Timber - Medium Hardwood Litter;5;8.5;41.88524;-75.08841;Private Property;;0;0;0;0;0;0;0;Seeley,Jason J;911 Dispatch;;(41.88524, -75.08841)
NYS-2014-0139;Darling Mountain;11/04/2014;11/04/2014;11/10/2014;5;5E;WARREN;QUEENSBURY;Campfire; 8 - Timber - Light Hardwood Litter;4;173;43.36673;-73.75448;Private Property;;0;0;0;0;0;0;0;Kabrehl,Charles J;911 Dispatch;;(43.36673, -73.75448)
NYS-2014-0138;Camp Little Notch Fire;11/02/2014;11/02/2014;11/08/2014;5;5F;WASHINGTON;FORT ANN;Power line; 8 - Timber - Light Hardwood Litter;5;16.5;43.48473;-73.55928;Private Property;Camp Little Notch;0;0;0;0;0;0;0;Goetke,Anthony G;911 Dispatch;;(43.48473, -73.55928)
NYS-2014-0137;Colby Fire;11/02/2014;11/02/2014;11/03/2014;5;5A;FRANKLIN;HARRIETSTOWN;Campfire; 9 - Timber - Medium Hardwood Litter;5;0.1;44.33258;-74.15751;Forest Preserve;Saranac Lake Wild Forest;0;0;0;0;0;0;0;Edmunds,Thomas R;Landowner;;(44.33258, -74.15751)
